"Id@github","Link@linkedin","Confidence"
"Ryan-McBride","ryanpmcbride","70"
"Ryan-Yu","ryanyu","70"
"ryanbaumann","ryanbaumann","73"
"ryancbarry","mryanbarry","70"
"ryandoherty","ryandoherty1","70"
"ryanjadhav","ryanjadhav","75"
"ryankirkman","ryanckirkman","82"
"ryanlecompte","ryanlecompte","82"
"RyanNaughton","ryannaughton","70"
"ryanoneill","ryanconeill","73"
"ryanstevens","ryanstevens","81"
"ryanuber","ryanuber","70"
"ryanve","ryanve","78"
"RyanWarner","rnwarner","81"
"rynocouse","ryancouse","65"
"daksharma","dakshsharma","70"
"drewrothstein","drewrothstein","78"
"clarson283","clarson283","70"
"billfranz00","billfranz00","81"
"billyvg","billyvong","65"
"bsmartt13","bsmartt13","82"
"bvierra","bvierra","70"
"carsongross","carsongross","73"
"nagalluri","nagalluri","70"
"yashbathia","yash-bathia","74"
"yashshah","yashshah1","70"
"cartershanklin","cartershanklin","70"
"gazimahmud","gazimahmud","71"
"mickaelpham","mickaelpham","73"
"DalerAsrorov","dalerasrorov","74"
"dlbewley","dalebewley","70"
"edgibbs","edgibbs","70"
"lawrencegomez","lawrencegomez","70"
"bobzoller","bobzoller","70"
"kepford","kepford","74"
"machouinard","markchouinard","70"
"markalinn","marklinn","70"
"markcerqueira","markcerqueira","74"
"markholmes","markrholmes","70"
"markleppa","markleppa","70"
"markscholtz","markscholtz","74"
"markuscraig","markjcraig","70"
"mfine","mafine","70"
"mhayes","mahayes","74"
"mmcgrana","mmcgrana","74"
"iamcal","iamcal","70"
"JanCVanB","jancvanb","70"
"rfdougherty","bodougherty","70"
"mqprichard","mprichard","82"
"mynnx","mynnx","70"
"zyklus","zyklus","78"
"topherwhite","topherwhite","78"
"NamTThai","namthai","70"
"samehkhamis","samehkhamis","78"
"gcarothers","gcarothers","70"
"coryasato","coryasato","78"
"corytheboyd","corytheboyd","70"
"corywalker","corywalker1","70"
"dnahol","dnahol","70"
"miguelsousa","miguelsousapt","74"
"mackenziehicks","mackenziehicks","70"
"hatone","hatone","87"
"dirk-thomas","dirkthomas","75"
"janephilipps","janephilipps","70"
"janetkuo","janetkuo","74"
"dackerman","dmackerman","70"
"davdkm","dvdkm","70"
"davidamidon","davidamidon","70"
"davidchiles","davidchiles","70"
"DavidChouinard","davidchouinard1","74"
"daviddengcn","daviddeng","74"
"DavidDeSimone","daviddesimone","70"
"davideast","davideastvw","74"
"davidfischer","davidfischer99","70"
"davidmarin","davidhmarin","70"
"davidmote","davidmote","74"
"davidneudorfer","davidneudorfer","70"
"davidrleonard","davidhleonard","74"
"davidstrauss","davidwstrauss","70"
"davidtansf","davidtantw","70"
"davidvictor","davidhvictor","70"
"dbieber","dbieber","70"
"dblevins","dblevins","73"
"dbushong","dbushong","70"
"dfreerksen","dfreerksen","75"
"tsaiDavid","laidavid","73"
"dmaust","maust","70"
"daviddever","daviddeller","70"
"dmdeller","dmdeller","73"
"dmzza","dmazza","70"
"dsboulder","dsboulder","82"
"dtee","dvtee","70"
"DTrejo","dtrejo","78"
"dweldon","daweldon","76"
"electrum","electrum","73"
"glasser","dglasser","70"
"koblas","koblas","70"
"clayrichardson","clayrichardson","70"
"iamcutler","iamcutler","73"
"jiangts","jiangts","70"
"faisalmansoor","faisalmansoor","82"
"aneesh-neelam","aneeshneelam","70"
"ekong2","ekong2","70"
"narenst","narenst","73"
"rizwanreza","rizwanreza","70"
"yiqin","yiqin1","70"
"omarqx","omarqa","70"
"osdiab","odiab","75"
"zackargyle","zackargyle","82"
"zackbrown","zackbrown1","70"
"clintcparker","clintonparker","70"
"clintonskitson","clintonkitson","74"
"clintworrell","clintworrell","70"
"3zcurdia","3zcurdia","70"
"lasl321","lasl321","70"
"jarrettch","jarrettch","70"
"cat-haines","cathaines","73"
"boeric","boeric00","67"
"laynefaler","laynefaler","70"
"damoncrockett","damoncrockett","74"
"jaredcwhite","jaredrwhite","71"
"jareddlc","jareddlc","70"
"jaredhanson","jaredhanson","70"
"jaredmoody","jaredmoody","70"
"JaredRoth","jaredsroth","70"
"jaredrummler","jaredrummler","74"
"jaredsburrows","jaredsburrows","70"
"ashblue","ashblue","70"
"taliegarcia","taliegarcia","78"
"vincentmac","vincentmac","70"
"prudentprogrammer","prudentprogrammer","74"
"samiur","samiurr","78"
"kesava","kesava","70"
"caynan","caynan","78"
"divyekapoor","divyekapoor","70"
"joonspoon","joonspoon","70"
"johansson","wjohansson","70"
"MadhuriShah","madhurishah","70"
"jatinpandey","jatinpandey","70"
"danafallon","danafallon","70"
"danawoodman","danawoodman","76"
"manulohiya","manulohiya","78"
"iamwilhelm","iamwilhelm","70"
"angrobertsh","angrobert","70"
"omidnoorani","omidnoorani","70"
"svallory","svallory","70"
"throughnothing","throughnothing","75"
"wcharczuk","wcharczuk","78"
"williamalu","williamlu","70"
"williamcotton","williamcotton","70"
"willnorris","will-norris","75"
"wlaurance","wlaurance","74"
"wlindner","wlindner","82"
"wting","witing","70"
"rfadams","rfadams","74"
"rlqualls","rlqualls","70"
"rmd6502","rmd6502","70"
"rnavarro","ranavarro","70"
"RobertKim","robertgkim","70"
"robertroeser","robertroeser","73"
"robmcarrier","robertmcarrier","67"
"rplevy","rplevy","78"
"shedd","rshedd","73"
"ldionne","ldionne","73"
"louisfeng","louisfeng","70"
"louishoang","louishoang88","70"
"milincjoshi","milincjoshi","70"
"diwu1989","diwu1989","70"
"fkling","fkling","70"
"fsalum","fsalum","70"
"kerryjiang","kerryjiang","70"
"beckybeauchamp1","beckybeauchamp","70"
"sventech","sventechie","75"
"stefanzier","stefanzier","74"
"swrobel","swrobel","70"
"caseyhoward","caseyhowardco","70"
"caseyjlaw","caseylaw","75"
"caseysackett","caseysackett","78"
"edspencer","edspencer85","70"
"ajryan","airyan","70"
"darinwilson","darinwilson","70"
"montanaflynn","montanaflynn","74"
"montanalow","montanalow","82"
"aniket-deole","aniketdeole","70"
"c-johnson","cjohnson9","65"
"cacoco","ccoco","82"
"cbeer","zbeer","70"
"ChristopherHaws","christopherbowns","70"
"cbrauchli","cbrauchli","67"
"cduchesne","cduchesne","75"
"cfregly","cfregly","74"
"chdmark","chdmark","70"
"chfritz","cefritz","75"
"Chris-G-Bowles","chrisbowles","67"
"chrisabruce","chrispbruce","74"
"chrisamccoy","chrisamccoy","74"
"chrisballinger","chris-ballinger","70"
"ChrisBeaumont","chrisbeaumontuk","82"
"chrisboulton","chrisboulton1","74"
"ChrisCinelli","criscinelli","70"
"chrisdanford","chrisdanford","82"
"chrisdonahue","chrisdonahue","74"
"chriseppstein","chriseppstein","70"
"ChrisFrench","chrisfrench39","70"
"chrisgillis","chrisgillis","73"
"chrisgriffith","chrisgriffith","74"
"chrislloyd","jchrislloyd","73"
"ChrisMcKenzie","chrismckenzie37","74"
"chrismiles","chrismiles1","70"
"chrisnash","chrisnash1","70"
"chrispolk","chrispolk","70"
"chrissrogers","chrissrogers","82"
"christinajensen","cjchristinajensen","70"
"christopherjwang","christopherroywang","70"
"christopherpeaton","christopherkeaton","70"
"ChristopherSalam","christophersalam","73"
"cjlarose","cjlarose","70"
"cjmerrick","chmerrick","71"
"clatko","clatko","70"
"ChristopherA","christopherlin","71"
"cmstead","cdstead","70"
"cpetersen","cmpetersen","74"
"CPLamb","ctlamb","75"
"csreyes","csreyes92","65"
"ctcherry","chcherry","70"
"cvincent","chvincent","70"
"cwebberOps","cwebberops","74"
"geirman","geirman","70"
"gotgenes","gotgenes","75"
"milliechan","milliechan","70"
